lcd_id,lcd_version,sticky_note_version,"sticky_note",sticky_note_dt,sticky_note_posting_dt
33975,25,1,"Revision History #R7 should say that the LCD was revised not the article.",2021-07-28 10:58:59,2021-08-05 00:00:00
33977,18,1,"Note: In the “Explanation of Revision:” in Revision History Number R4 it was indicated that the addition of ICD-10-CM codes was based on a reconsideration request in error. This addition of the ICD-10-CM codes was based on an external correspondence.",2019-11-07 00:06:56,2019-11-14 00:00:00
38387,7,1,"The LCD has been revised during Notice to add “affecting the respiratory system” to the limitation for neuromuscular disease.<br />",2020-02-14 20:35:49,2020-02-20 00:00:00
39122,3,1,"Comments are only open for this addition “Coverage criteria expanded to include blood-based biomarker colorectal cancer screening test, positive, in compliance with revised NCD 210.3, Colorectal Cancer Screening Tests.”",2021-09-22 17:01:00,2021-09-30 00:00:00
39365,149,1,"Please note clarification to the Issues Description third paragraph below: <br />On 3/20/2025, a revision was made throughout LCD to change verbiage referring to gender. This update was made to the version of this LCD updated on 04/25/2025 and published on the Medicare Coverage Database on 05/01/2025.<br />",2025-05-07 14:24:26,2025-05-15 00:00:00
39367,41,1,"Please note clarification to the Issues Description third paragraph below: <br />On 3/20/2025, a revision was made throughout LCD to change verbiage referring to gender. This update was made to the version of this LCD updated on 04/25/2025 and published on the Medicare Coverage Database on 05/01/2025.<br />",2025-05-07 14:27:56,2025-05-15 00:00:00
39835,10,1,"Under the Bibliography, a broken hyperlink was fixed on source #234. The updated link is:  https://eyewiki.org/Botulinum_Toxin_Use_In_Strabismus",2026-01-07 17:37:17,2026-01-15 00:00:00
39856,3,1,"Update to Bibliography #242 due to a broken hyperlink. Please refer to: Jacobson BH, Johnson A, Grywalski C, et al. The voice handicap index (VHI): Development and validation. American Journal of Speech-Language Pathology. 1997;6(3):66-70.",2025-12-17 15:42:02,2025-12-25 00:00:00
39856,3,2,"Link in #234 in bibliography section is broken please use this link instead to review literature reviewed. https://eyewiki.org/Botulinum_Toxin_Use_In_Strabismus<br /><br />Update to Bibliography #242 due to a broken hyperlink. Please refer to: Jacobson BH, Johnson A, Grywalski C, et al. The voice handicap index (VHI): Development and validation. American Journal of Speech-Language Pathology. 1997;6(3):66-70.<br /> <br />",2026-01-09 14:26:37,2026-01-15 00:00:00
39858,4,1,"Update to Bibliography #242 due to a broken hyperlink. Please refer to: Jacobson BH, Johnson A, Grywalski C, et al. The voice handicap index (VHI): Development and validation. American Journal of Speech-Language Pathology. 1997;6(3):66-70.",2025-12-17 19:29:49,2025-12-25 00:00:00
39858,4,2,"Under the Bibliography a broken hyperlink was fixed on source #234. The updated link is:  https://eyewiki.org/Botulinum_Toxin_Use_In_Strabismus",2026-01-20 16:21:52,2026-01-29 00:00:00
39859,4,1,"Update to Bibliography #242 due to a broken hyperlink. Please refer to: Jacobson BH, Johnson A, Grywalski C, et al. The voice handicap index (VHI): Development and validation. American Journal of Speech-Language Pathology. 1997;6(3):66-70.",2025-12-17 19:30:15,2025-12-25 00:00:00
39859,4,2,"Under the Bibliography a broken hyperlink was fixed on source #234. The updated link is:  https://eyewiki.org/Botulinum_Toxin_Use_In_Strabismus",2026-01-20 16:22:44,2026-01-29 00:00:00
39908,2,1,"The following link has been updated: <br />242. American Journal of Speech-Language Pathology. The voice handicap index (vhi): development and validation. https://www.amc.edu/patient/amfp_forms/Voice_Handicap_Index_2015.pdf.  The link has been updated to https://www.researchgate.net/publication/269884019_The_Voice_Handicap_Index_VHI",2025-12-03 16:30:50,2025-12-11 00:00:00
39908,2,2,"Under the Bibliography a broken hyperlink was fixed on source #234. The updated link is:  https://eyewiki.org/Botulinum_Toxin_Use_In_Strabismus. ",2026-01-07 14:58:03,2026-01-15 00:00:00
39943,4,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.727000000,2025-05-08 00:00:00
39945,5,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.730000000,2025-05-08 00:00:00
39947,3,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.730000000,2025-05-08 00:00:00
39949,3,1,"Proposed LCD was updated to correct the reason for proposed LCD field. The field was changed from This Request was MAC Initiated to include the Requestor Information",2025-05-02 21:37:08.733000000,2025-05-08 00:00:00
39983,8,1,"The Requestor Information has been updated to include a Reconsideration Request letter.",2024-10-03 14:19:17,2024-10-10 00:00:00
39996,7,1,"The Requestor Information has been updated to include a Reconsideration Request letter.",2024-10-03 14:21:50,2024-10-10 00:00:00
39996,7,2,"The JN website was recently updated. As a result, the link in the “Open Meetings” section of the LCD is not working. Please use the following link for information on the upcoming Open Meeting: https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings",2025-11-05 16:00:17,2025-11-13 00:00:00
40025,8,1,"The JN website was recently updated. As a result, the link in the Open Meetings and the Contractor Advisory Committee (CAC) Meetings sections of this Proposed LCD are not working. <br /><br />The updated link for the Open Meetings section is https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings and the updated link for the Contractor Advisory Committee (CAC) Meetings section is https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determination-contractor-advisory-committee-cac-meetings<br /><br /><br /><br />",2025-11-07 17:05:16,2025-11-13 00:00:00
40177,4,1,"Only the removal of ""voided volume greater than 125cc"" from the Indications of Coverage is open for official comment.",2025-05-05 10:57:58,2025-05-15 00:00:00
40180,6,1,"Only the uses of Rituximab for ANCA- Associated Vasculitis (AAV), IgG4-related pancreatitis, and Susac Syndrome are open for official comment. ",2025-05-05 11:39:18,2025-05-15 00:00:00
40181,8,1,"Only the off-label use of Intravenous Immune Globulin (IVIG) for Susac Syndrome is open for official comment.",2025-05-07 22:54:39,2025-05-15 00:00:00
40268,6,1,"Only the removal of references to carpal and tarsal tunnel injections is open for official comment.",2025-09-18 16:10:42,2025-09-25 00:00:00
40269,12,1,"The number 11 source listed in the Bibliography of this proposed Nebulizers LCD (DL33370) contains a webpage link that is no longer functional. The linked webpage has been moved to a new location on the Centers for Disease Control and Prevention (CDC) website.<br /> <br />The link that is no longer functional redirects to the new location on the CDC website after 10 seconds.<br /> <br />Here is the direct link to the webpage at the new location on the CDC website: https://www.cdc.gov/disability-and-health/about/index.html [cdc.gov]<br />",2025-12-16 14:53:51,2025-12-25 00:00:00
40269,12,2,"Within the Open Meetings table, the registration link (located in the Meeting Information column) no longer directs viewers to an active registration for the meeting. The meeting registration previously closed, and the meeting date has passed.",2026-01-16 19:58:45,2026-01-22 00:00:00
40270,19,1,"Within the Open Meetings table, the registration link (located in the Meeting Information column) no longer directs viewers to an active registration for the meeting. The meeting registration previously closed, and the meeting date has passed.",2026-01-20 20:03:15,2026-01-29 00:00:00
40279,6,1,"Only the Indications of Coverage for Unilateral Pallidotomy are open for official comment.",2025-09-18 19:00:16,2025-09-25 00:00:00
40288,7,1,"The JN website was recently updated. As a result, the link in the “Open Meetings” section of the LCD is not working. Please use the following link for information on the upcoming Open Meeting: https://medicare.fcso.com/medical-affairs/proposed-local-coverage-determinations-lcds-open-meetings",2025-09-19 15:27:27,2025-09-25 00:00:00
